City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
170,Faanui,PF,2022-02-13 22:19:56,-16.4833,-151.75,80.76,74,100,14.63,light rain,0.0,0.0
171,Hibbing,US,2022-02-13 22:27:17,47.4272,-92.9377,5.58,29,100,4.61,overcast clouds,0.0,0.0
172,Presidencia Roque Saenz Pena,AR,2022-02-13 22:25:22,-26.7852,-60.4388,85.37,28,0,3.78,clear sky,0.0,0.0
173,Cabo San Lucas,MX,2022-02-13 22:20:23,22.8909,-109.9124,84.51,51,40,13.8,scattered clouds,0.0,0.0
174,Caravelas,BR,2022-02-13 22:22:29,-17.7125,-39.2481,76.68,84,77,6.78,broken clouds,0.0,0.0
175,Bauchi,NG,2022-02-13 22:27:17,10.5,10.0,70.61,15,18,6.73,few clouds,0.0,0.0
176,Borinskoye,RU,2022-02-13 22:27:17,52.4569,39.3713,17.49,91,58,7.99,broken clouds,0.0,0.0
177,Zaragoza,ES,2022-02-13 22:22:29,41.6561,-0.8773,54.01,79,75,6.91,light rain,0.0,0.0
178,Adelaide,AU,2022-02-13 22:23:48,-34.9333,138.6,78.22,44,0,0.0,clear sky,0.0,0.0
179,Fairbanks,US,2022-02-13 22:19:29,64.8378,-147.7164,14.23,81,100,3.44,light snow,0.0,0.0
180,San Patricio,US,2022-02-13 22:21:01,28.017,-97.5169,66.88,22,19,5.73,few clouds,0.0,0.0
181,Minggang,CN,2022-02-13 22:27:18,32.4586,114.0486,37.87,84,81,3.04,broken clouds,0.0,0.0
182,Guliston,UZ,2022-02-13 22:27:18,40.4897,68.7842,43.0,72,86,7.65,overcast clouds,0.0,0.0
183,Salobrena,ES,2022-02-13 22:27:18,36.7428,-3.5872,58.33,79,100,6.58,overcast clouds,0.0,0.0
184,Jamestown,US,2022-02-13 22:17:23,42.097,-79.2353,20.52,39,100,6.91,overcast clouds,0.0,0.0
185,Thompson,CA,2022-02-13 22:19:32,55.7435,-97.8558,-3.84,65,75,8.05,broken clouds,0.0,0.0
186,Matamba,TZ,2022-02-13 22:27:19,-8.9833,33.9667,55.35,89,100,4.43,overcast clouds,0.0,0.0
